time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:36:50.110134,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.0705,0.8706,2.8984375,146.2529296875,0.0493,0.842,79.6953125,94.0908203125
2022-12-02 08:36:53.473239,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,2.0,0,0,0.1049,0.8706,2.8984375,146.2529296875,0.0902,0.842,79.6953125,94.0908203125
2022-12-02 08:36:56.909338,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,3.0,0,0,0.0895,0.8706,2.8984375,146.2529296875,0.0916,0.842,79.6953125,94.0908203125
2022-12-02 08:37:00.334105,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,4.0,0,0,0.0879,0.8706,2.8984375,146.2529296875,0.0919,0.842,79.6953125,94.0908203125
2022-12-02 08:37:03.755780,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,0,5.0,0,0,0.0838,0.8706,2.8984375,146.2529296875,0.0916,0.842,79.6953125,94.0908203125
