time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:39:04.374152,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,1.0,0,0,0.1907,0.3575,2.8984375,554.9287109375,0.1504,0.3544,294.1953125,343.2177734375
2022-12-02 08:39:11.964368,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,2.0,0,0,0.1709,0.3575,2.8984375,554.9287109375,0.1517,0.3544,294.1953125,343.2177734375
2022-12-02 08:39:19.487208,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,3.0,0,0,0.1628,0.3575,2.8984375,554.9287109375,0.1554,0.3544,294.1953125,343.2177734375
2022-12-02 08:39:27.118551,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,4.0,0,0,0.1371,0.3575,2.8984375,554.9287109375,0.1574,0.3544,294.1953125,343.2177734375
2022-12-02 08:39:34.705882,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,0,5.0,0,0,0.1711,0.3575,2.8984375,554.9287109375,0.157,0.3544,294.1953125,343.2177734375
