time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:36:32.977894,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.0794,0.8706,2.8984375,146.2529296875,0.0896,0.8409,79.6953125,93.9501953125
2022-12-02 08:36:36.422110,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,2.0,0,0,0.0926,0.8706,2.8984375,146.2529296875,0.0799,0.7427,79.6953125,93.7158203125
2022-12-02 08:36:39.823982,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,3.0,0,0,0.0811,0.8706,2.8984375,146.2529296875,0.0805,0.6707,79.6953125,93.0283203125
2022-12-02 08:36:43.223397,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,4.0,0,0,0.0947,0.8706,2.8984375,146.2529296875,0.1108,0.6772,79.6953125,92.7861328125
2022-12-02 08:36:46.670201,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,1,1,5.0,0,0,0.0883,0.8706,2.8984375,146.2529296875,0.0905,0.5405,79.6953125,92.5361328125
