time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:37:48.777110,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.175,0.3575,2.8984375,554.9287109375,0.1575,0.3544,294.1953125,343.2177734375
2022-12-02 08:37:56.353772,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,2.0,0,0,0.1681,0.3575,2.8984375,554.9287109375,0.1624,0.3544,294.1953125,343.2177734375
2022-12-02 08:38:03.912284,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,3.0,0,0,0.2229,0.3575,2.8984375,554.9287109375,0.1529,0.3544,294.1953125,343.2177734375
2022-12-02 08:38:11.521066,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,4.0,0,0,0.1812,0.3575,2.8984375,554.9287109375,0.1615,0.3544,294.1953125,343.2177734375
2022-12-02 08:38:19.096012,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,0,5.0,0,0,0.1649,0.3575,2.8984375,554.9287109375,0.1562,0.3544,294.1953125,343.2177734375
