time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:38:26.650212,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,1.0,0,0,0.1616,0.3575,2.8984375,554.9287109375,0.1542,0.3548,294.1953125,342.9755859375
2022-12-02 08:38:34.196920,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,2.0,0,0,0.1591,0.3575,2.8984375,554.9287109375,0.1573,0.352,294.1953125,342.7490234375
2022-12-02 08:38:41.720681,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,3.0,0,0,0.1594,0.3575,2.8984375,554.9287109375,0.1541,0.339,294.1953125,342.4208984375
2022-12-02 08:38:49.282966,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,4.0,0,0,0.1696,0.3575,2.8984375,554.9287109375,0.1522,0.3286,294.1953125,342.1396484375
2022-12-02 08:38:56.841821,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,1,1,5.0,0,0,0.1696,0.3575,2.8984375,554.9287109375,0.1575,0.3218,294.1953125,341.8583984375
