time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:35:58.648913,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.0969,0.8706,2.8984375,146.2529296875,0.0818,0.8409,79.6953125,93.9501953125
2022-12-02 08:36:02.097077,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,2.0,0,0,0.1004,0.8706,2.8984375,146.2529296875,0.0885,0.7427,79.6953125,93.7158203125
2022-12-02 08:36:05.572933,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,3.0,0,0,0.0951,0.8706,2.8984375,146.2529296875,0.0797,0.6707,79.6953125,93.0283203125
2022-12-02 08:36:09.042579,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,4.0,0,0,0.0562,0.8706,2.8984375,146.2529296875,0.0503,0.6772,79.6953125,92.7861328125
2022-12-02 08:36:12.425488,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,1,5.0,0,0,0.1015,0.8706,2.8984375,146.2529296875,0.0891,0.5405,79.6953125,92.5361328125
