time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:36:15.879675,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,1.0,0,0,0.1026,0.8706,2.8984375,146.2529296875,0.0957,0.842,79.6953125,94.0908203125
2022-12-02 08:36:19.331074,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,2.0,0,0,0.0862,0.8706,2.8984375,146.2529296875,0.1128,0.842,79.6953125,94.0908203125
2022-12-02 08:36:22.765990,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,3.0,0,0,0.0813,0.8706,2.8984375,146.2529296875,0.0804,0.842,79.6953125,94.0908203125
2022-12-02 08:36:26.189115,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,4.0,0,0,0.0726,0.8706,2.8984375,146.2529296875,0.0541,0.842,79.6953125,94.0908203125
2022-12-02 08:36:29.546852,mnist,0.6,"[784, 20, 20, 10]",32,0.01,60,0.0,0,0,5.0,0,0,0.0979,0.8706,2.8984375,146.2529296875,0.0895,0.842,79.6953125,94.0908203125
