time,dataset,k,shape,batch_size,lr,epochs,l2_lambda,double_layer,pruning,sigma,train_time,original,bc_test_time,bc_test_acc,bc_mem_size,bc_persisted_size,ac_test_time,ac_test_acc,ac_mem_size,ac_persisted_size
2022-12-02 08:37:10.903632,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,1.0,0,0,0.1907,0.3575,2.8984375,554.9287109375,0.1679,0.3548,294.1953125,342.9755859375
2022-12-02 08:37:18.500727,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,2.0,0,0,0.1549,0.3575,2.8984375,554.9287109375,0.1515,0.352,294.1953125,342.7490234375
2022-12-02 08:37:26.042803,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,3.0,0,0,0.1685,0.3575,2.8984375,554.9287109375,0.1528,0.339,294.1953125,342.4208984375
2022-12-02 08:37:33.651636,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,4.0,0,0,0.1634,0.3575,2.8984375,554.9287109375,0.1549,0.3286,294.1953125,342.1396484375
2022-12-02 08:37:41.216879,cifar10,0.6,"[3072, 20, 20, 10]",32,0.01,60,0.0,0,1,5.0,0,0,0.1781,0.3575,2.8984375,554.9287109375,0.1574,0.3218,294.1953125,341.8583984375
